SoundName,avrating,V,A,afs1,afs2,afs3,afs4
Sound4.wav,1.7,0.399897829,0.814166667,,2,,4
Sound176.wav,1.7,0.625203459,0.646745521,1,,,4
Sound34.wav,1.7,0.356905871,0.778301158,1,2,,
Sound92.wav,1.675,0.749605197,0.757430987,,2,,4
Sound65.wav,1.675,0.349226555,0.343541389,,2,3,
Sound168.wav,1.675,0.767066726,0.710765306,1,,3,
Sound172.wav,1.65,0.339313317,0.859793719,,2,3,
Sound45.wav,1.65,0.384155767,0.478977833,,,3,4
Sound159.wav,1.625,0.532758621,0.552096561,1,,,4
Sound49.wav,1.625,0.528665925,0.507179724,,,3,4
Sound26.wav,1.625,0.616239655,0.656680357,1,,3,
Sound173.wav,1.625,0.72,0.632940476,1,2,,
Sound29.wav,1.625,0.419202543,0.846206699,1,2,,
Sound170.wav,1.6,0.520167754,0.842519305,,2,,4
Sound13.wav,1.6,0.416123412,0.858575188,,2,,4
Sound46.wav,1.6,0.572029781,0.54049513,1,,,4
Sound42.wav,1.575,0.589915552,0.645911079,1,,,4
Sound151.wav,1.575,0.472085602,0.805488722,,2,,4
Sound88.wav,1.575,0.461981544,0.548360161,1,,3,
Sound153.wav,1.575,0.661920653,0.646359447,1,2,,
Sound130.wav,1.55,0.551794587,0.856052227,,2,,4
Sound138.wav,1.55,0.39700627,0.434058442,1,,3,
Sound144.wav,1.525,0.404542729,0.80447205,,2,3,
Sound104.wav,1.525,0.453893899,0.563516484,,,3,4
Sound158.wav,1.5,0.444458812,0.401149802,,,3,4
Sound39.wav,1.5,0.593124257,0.69367303,,,3,4
Sound3.wav,1.5,0.54758267,0.574914835,,,3,4
Sound61.wav,1.5,0.544760894,0.58900157,,2,3,
Sound107.wav,1.475,0.428820327,0.488045113,1,,3,
Sound141.wav,1.45,0.458778111,0.493636646,,,3,4
Sound97.wav,1.45,0.618108231,0.651192678,1,2,,
Sound111.wav,1.45,0.366046798,0.704827806,,2,,4
Sound8.wav,1.45,0.417936859,0.418506274,,2,3,
Sound106.wav,1.45,0.787506866,0.802867678,1,2,,
Sound5.wav,1.425,0.556414888,0.565873016,,,3,4
Sound57.wav,1.425,0.5498867,0.512678571,,,3,4
Sound11.wav,1.425,0.33499721,0.723988673,,2,,4
Sound43.wav,1.4,0.634367816,0.69964748,,2,3,
Sound124.wav,1.4,0.577222522,0.743847656,,2,,4
Sound87.wav,1.4,0.582157545,0.573577982,1,,,4
Sound125.wav,1.4,0.519584273,0.62215287,1,,,4
Sound78.wav,1.375,0.348580122,0.62644958,1,2,,
Sound85.wav,1.375,0.413768473,0.83380102,,2,3,
Sound22.wav,1.35,0.507899106,0.815727513,1,2,,
Sound178.wav,1.35,0.391566502,0.790959184,,2,3,
Sound123.wav,1.35,0.593998735,0.476621887,,,3,4
Sound1.wav,1.35,0.521232439,0.534816468,,,3,4
Sound134.wav,1.325,0.658128079,0.56997449,,2,3,
Sound132.wav,1.325,0.637048882,0.628714286,1,,3,
Sound28.wav,1.3,0.500396294,0.590522388,,2,3,
Sound89.wav,1.3,0.591231932,0.622031311,1,2,,
Sound163.wav,1.25,0.641074755,0.585010428,1,2,,
Sound54.wav,1.225,0.456343678,0.66062381,,,3,4
Sound119.wav,1.225,0.624739689,0.611687675,1,,,4
Sound30.wav,1.225,0.369803528,0.701004983,,2,3,
Sound150.wav,1.225,0.445919712,0.648095949,1,,,4
Sound112.wav,1.175,0.655910345,0.578398214,,2,,4
Sound142.wav,1.15,0.366134301,0.485406015,,,3,4
Sound149.wav,1.125,0.40495523,0.481760063,,,3,4
Sound74.wav,1.125,0.587030172,0.63903125,1,,,4
Sound77.wav,1.125,0.390244716,0.444028418,,,3,4
Sound91.wav,1.125,0.518911427,0.522471989,,,3,4
Sound47.wav,1,0.370376176,0.791099258,,2,,4
Sound55.wav,0.975,0.497559202,0.557786862,1,,,4
Sound90.wav,0.95,0.33753485,0.746724924,,2,3,
Sound66.wav,0.9,0.368567323,0.713907313,,2,3,
